File system;File system;Creator;Year of introduction;Original operating system;File system;Stores file owner;POSIX file permissions;Creation timestamps;Last access/ read timestamps;Last metadata change timestamps;Last archive timestamps;Access control lists;Security/ MAC labels;Extended attributes/ Alternate data streams/ forks;Metadata checksum/ ECC;File system;Hard links;Symbolic links;Block journaling;Metadata-only journaling;Case-sensitive;Case-preserving;File Change Log;XIP;Resident files (inline data);File system;Internal snapshotting / branching;Encryption;Deduplication;Data checksum/ ECC;Persistent Cache;Multiple Devices;Compression;Self-healing(aw);File system;Host OS;Offline grow;Online grow;Offline shrink;Online shrink;Add and remove physical volumes;File system;Sparse files;Block suballocation;Tail packing;Extents;Variable file block size(bj);Allocate-on-flush;Copy on write;Trim support;File system;DOS;Linux;macOS;Windows 9x;Windows NT;classic Mac OS;FreeBSD;OS/2;BeOS;Minix;Solaris;z/OS;Android(63);File system;Maximum filename length;Allowable characters in directory entries(bx);Maximum pathname length;Maximum file size;Maximum volume size(by);Max number of files
FAT32;FAT32;Microsoft;1996;MS-DOS 7.10 / Windows 95 OSR2[b];FAT32;No;No;Yes;Yes;No[d];No;No;No;No[e];No;FAT32;No;No;No?;Partial (with TFAT32 only);No;Partial (with VFAT LFNs only);No;No;No;FAT32;No;No;No;No;No;No;No;No;FAT32;misc.;Yes[bi];No;Yes[bi];No;No;FAT32;No;No;No;No;No;No;No;Yes (Linux);FAT32;Yes (from DOS 7.10);Yes;Yes;Yes (from Windows 95 OSR2);Yes (from Windows 2000);Yes?;Yes;Yes;Yes;No;Yes;?;Yes;FAT32;8.3 (255 UCS-2 characters with LFN)[cc];"SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, "" * / : < > ? \ | [bx][cc][bz]";32,760 Unicode characters with each path component no more than 255 characters[93];4 GiB (4.294 GB)[93];512 MiB (536.8 MB) to 16 TiB (17.59 TB)[ce];?
FAT32X;FAT32X;Microsoft;1996;MS-DOS 7.10 / Windows 95 OSR2[b];NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;FAT32X;No;No;No?;Partial (with TFAT32 only);No;Partial (with VFAT LFNs only);No;No;No;FAT32X;No;No;No;No;No;No;No;No;FAT32X;misc.;Yes[bi];No;Yes[bi];No;No;FAT32X;No;No;No;No;No;No;No;Yes (Linux);FAT32X;Yes (from DOS 7.10);Yes;Yes;Yes (from Windows 95 OSR2);Yes (from Windows 2000);Yes?;Yes;Yes;Yes;No;Yes;?;Yes;FAT32X;8.3 (255 UCS-2 characters with LFN)[cc];"SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, "" * / : < > ? \ | [bx][cc][bz]";32,760 Unicode characters with each path component no more than 255 characters[93];4 GiB (4.294 GB)[93];512 MiB (536.8 MB) to 16 TiB (17.59 TB)[ce];?
FATX;FATX;Microsoft;2002;Xbox;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;FATX;42 bytes[cc];ASCII. Unicode not permitted.;No limit defined[ca];2 GiB (2.147 GB);16 MiB (16.77 MB) to 2 GiB (2.147 GB);?
FFS;FFS;Kirk McKusick;1983;4.2BSD;FFS;Yes;Yes;No;Yes;Yes;No;No;No;No;No;FFS;Yes;Yes;No;No;Yes;Yes;No;No;No;FFS;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;FFS;Yes;8:1(bl);No;No;No;No;?;No;FFS;No;?;Yes;No;?;?;Yes;?;?;?;?;?;No;FFS;255 bytes;Any byte except NUL[bz];No limit defined[ca];4 GiB (4.294 GB);256 TiB (281.4 TB);?
Fossil;Fossil;Bell Labs;2003;Plan 9 version 4;Fossil;Yes;Yes[s];No;Yes;Yes;No;No;No;No;No;Fossil;No;No;No;No;Yes;Yes;Yes;No;?;Fossil;Yes;No;Yes;No;No;No;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Fossil;?;No;No;No;No;No;?;?;Fossil;No;Yes[bu];Yes[bu];No;No;No;Yes[bu];No;No;No;Yes[bu];?;No;Fossil;?;?;?;?;?;?
GEC DOS filing system extended;GEC DOS filing system extended;GEC;1977;OS4000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GEC DOS filing system extended;8 bytes;A–Z, 0–9. Period was directory separator;? No limit defined (workaround for OS limit);? at least 131,072 bytes;?;?
GEMDOS;GEMDOS;Digital Research;1985;Atari TOS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GEMDOS;44993;"A-Z, a-z, 0-9 ! @ # $ % ^ & ( ) + - = ~ ` ; ' "" , < > | [ ] ( ) _[97]";?;?;?;?
George 3;George 3;ICT (later ICL);1968;George 3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GFS;GFS;Sistina (Red Hat);2000;Linux;GFS;Yes;Yes;No;Yes;Yes;No;Yes[l];Yes[l];Yes;No;GFS;Yes;Yes[z];Yes;Yes[aa];Yes;Yes;No;No;?;GFS;No;No;?;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GFS;Yes;No;Partial(bk);No;No;No;?;Yes;GFS;No;Yes;?;No;No;No;No;?;?;?;?;?;No;GFS;255 bytes;Any byte except NUL[bz];No limit defined[ca];2 TiB (2.199 TB) to 8 EiB (9.223 EB)[ch];2 TiB (2.199 TB) to 8 EiB (9.223 EB)[ch];?
GFS2;GFS2;Red Hat;2006;Linux;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GFS2;255 bytes;Any byte except NUL[bz];No limit defined[ca];100 TiB (109.95 TB) to 8 EiB (9.223 EB)[cf];100 TiB (109.95 TB) to 8 EiB (9.223 EB)[cg];?
GlusterFS;GlusterFS;Gluster Inc.;2005;Linux;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Google File System;Google File System;Google;2003;Linux;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GPFS;GPFS;IBM;1996;AIX, Linux;GPFS;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;GPFS;255 UTF-8 codepoints;Any byte except NUL[bz];No limit defined[ca];9 EiB (10.37 EB);524,288 YiB (299 bytes);?
HAMMER;HAMMER;Matthew Dillon;2008;DragonFly BSD 2.0;HAMMER;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;No;Yes;HAMMER;Yes;Yes;Yes;Yes;Yes;Yes;?;No;?;HAMMER;Yes;No;Yes;Yes;No;No;No;No;HAMMER;DragonflyBSD;?;?;?;?;?;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;HAMMER;1023 bytes[100];Any byte except NUL[bz];?;?;1 EiB (1.152 EB)[101];?
HAMMER2;HAMMER2;Matthew Dillon[6];2017;DragonFly BSD 5.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
HFS;HFS;Apple;1985;System 2.1;HFS;No;No;Yes;No;No;Yes;No;No;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;HFS;macOS;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;HFS;No;Yes;No write support since Mac OS X 10.6 and no support at all since macOS 10.15;No;Needs Paragon HFS+ [68];Yes;No;?;Yes;No;?;No;No;HFS;31 bytes;Any byte except :;Unlimited;2 GiB (2.147 GB);2 TiB (2.199 TB);?
HFS;HFS;IBM;1994;MVS/ESA (now z/OS);HFS;No;No;Yes;No;No;Yes;No;No;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;HFS;macOS;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;HFS;No;Yes;No write support since Mac OS X 10.6 and no support at all since macOS 10.15;No;Needs Paragon HFS+ [68];Yes;No;?;Yes;No;?;No;No;HFS;31 bytes;Any byte except :;Unlimited;2 GiB (2.147 GB);2 TiB (2.199 TB);?
HFS+;HFS+;Apple;1998;Mac OS 8.1;HFS+;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;No;HFS+;Yes[16];Yes;No;Yes[ae];Optional[af];Yes;Yes[ag];No;?;HFS+;No;No[az];No;No;No;No;No;No;HFS+;macOS;No;Yes;No;Yes;No;HFS+;No;No;No;Yes;No;No;?;Yes (macOS);HFS+;No;Partial - writing support only to unjournalled FS;Yes;No;Needs Paragon HFS+ [68];Yes from Mac OS 8.1;No;?;with addon;No;?;No;No;HFS+;255 UTF-16 characters[ci];Any valid Unicode[bz][cj];Unlimited;slightly less than 8 EiB (9.223 EB);slightly less than 8 EiB (9.223 EB)[102][103];?
High Sierra;High Sierra;Ecma International;1986;MSCDEX for MS-DOS 3.1/3.2[3];High Sierra;No;No;Yes;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;High Sierra;?;?;?;?;?;?
HPFS;HPFS;IBM & Microsoft;1989;OS/2 1.2;HPFS;Yes[f];No;Yes;Yes;No;No;No;?;Yes;No;HPFS;No;No;No;No;No;Yes;No;No;?;HPFS;?;No;?;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;HPFS;No;No;No;Yes;No;No;?;Yes (Linux);HPFS;Partial (with third-party drivers);Yes;?;No;Partial (with NT 3.1 to 4.0 only);?;Yes;Yes (from OS/2 1.2);?;No;?;?;No;HPFS;255 bytes;Any byte except NUL[ck];No limit defined[ca];2 GiB (2.147 GB);2 TiB (2.199 TB)[cl];?
IBM HFS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;IBM HFS;No;No;No;No;No;No;No;No;No;No;No;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IBM SFS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;IBM SFS;45146;?;?;Non-hierarchical[104];?;?
IBM zFS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;IBM zFS;No;No;No;No;No;No;No;No;No;No;No;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ISO 9660;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ISO 9660;No;No;No;No;No;No;No;No;?;ISO 9660;No;No;No[bh];No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ISO 9660;No;No;No;Yes(bs);No;No;No;No;ISO 9660;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ISO 9660:1988;ISO 9660:1988;Ecma International, ISO;1988;"MS-DOS, ""classic"" Mac OS, and AmigaOS";ISO 9660:1988;No;No;Yes;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ISO 9660:1988;Level 1: 8.3,Level 2 & 3: ~ 180;Depends on Level[cm];~ 180 bytes?;4 GiB (4.294 GB) (Level 1 & 2) to 8 TiB (8.796 TB) (Level 3)[cn];8 TiB (8.796 TB)[co];?
ISO 9660:1999;ISO 9660:1999;Ecma International, ISO;1999;"Microsoft Windows, Linux, ""classic"" Mac OS, FreeBSD, and AmigaOS";ISO 9660:1999;No;No;Yes;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ISO 9660:1999;?;?;?;?;?;?
JFS;JFS;IBM;1999;OS/2 Warp Server for e-business;JFS;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;JFS;Yes;Yes;Yes;Yes (1990);Yes[ao];Yes;No;?;?;JFS;?;No;?;No;No;No;only in JFS1 on AIX[35];No;JFS;Linux;Yes;No;No;No;No;JFS;Yes;Yes;No;Yes;No;No;?;Yes (Linux);JFS;No;Yes;?;No;No;?;No;Yes;?;?;?;?;No;JFS;255 bytes;Any Unicode except NUL;No limit defined[ca];4 PiB (4.503 PB);32 PiB (36.02 PB);?
JFS1;JFS1;IBM;1990;AIX[a];NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;JFS1;255 bytes;Any byte except NUL[bz];No limit defined[ca];8 EiB (9.223 EB);512 TiB (562.9 TB) to 4 PiB (4.503 PB);?
JFS2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;JFS2;AIX;Yes;Yes;Yes;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"Joliet (""CDFS"")";"Joliet (""CDFS"")";Microsoft;1995;"Microsoft Windows, Linux, ""classic"" Mac OS, and FreeBSD";"Joliet (""CDFS"")";No;No;Yes;No;No;No;No;No;No;No;"Joliet (""CDFS"")";No;No;No;No;No;Yes;No;No;?;"Joliet (""CDFS"")";No;No;No[bh];No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"Joliet (""CDFS"")";No;No;No;Yes(bs);No;No;No;No;"Joliet (""CDFS"")";No;Yes;Yes;Yes;Yes;?;Yes;Yes;Yes;?;Yes;?;No;"Joliet (""CDFS"")";64 Unicode characters;"All UCS-2 code except *, /, \, :, ;, and ?[105]";?;same as ISO 9660:1988;same as ISO 9660:1988;?
JXFS;JXFS;Hyperion Entertainment;2008;AmigaOS 4.1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Level-D;Level-D;DEC;1968;TOPS-10;Level-D;Yes;Yes;Yes;Yes (date only);Yes;Yes;Yes (FILDAE);No;No;No;Level-D;No;No;No;No;No;No;No;No;?;Level-D;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Level-D;No;No;No;Yes;No;No;No;?;Level-D;No;?;?;No;No;No;No;No;No;No;?;?;No;Level-D;44991;A–Z, 0–9;"DEVICE:FILNAM.EXT[PROJCT,PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67";"34,359,738,368 words (235); 206,158,430,208 SIXBIT bytes";Approx 12 GiB (12.88 GB) (64 * 178 MiB (186.6 MB));?
LFS;LFS;Margo Seltzer;1993;Berkeley Sprite;LFS;Yes;Yes;No;Yes;Yes;No;No;No;No;No;LFS;Yes;Yes;Yes[aj];No;Yes;Yes;No;No;?;LFS;Yes;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LFS;Yes;8:1(bl);No;No;No;No;Yes;?;LFS;No;?;?;No;No;?;No;No;?;?;?;?;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LSFS;LSFS;StarWind Software;2009;Linux, FreeBSD, Windows;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Lustre;Lustre;Cluster File Systems[5];2002;Linux;Lustre;Yes;Yes;No;Yes;Yes;No;Yes;Yes;Yes;No;Lustre;Yes;Yes;Yes[al];Yes;Yes;Yes;Yes;No;?;Lustre;No;No;No;No;Yes;Yes;No;No;Lustre;Linux;?;Yes;No;No;Yes;Lustre;Yes;No;No;Yes;No;Yes;?;?;Lustre;No;Yes[77];?;No;No;?;No;?;?;?;Yes;?;No;Lustre;255 bytes;Any byte except NUL[bz];No limit defined[ca];16 EiB (18.44 EB) on ZFS;16 EiB (18.44 EB);?
MFS;MFS;Apple;1984;System 1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;MFS;255 bytes;Any byte except :;No path (flat filesystem);256 MiB (268.4 MB);256 MiB (268.4 MB);?
MicroDOS file system;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;MicroDOS file system;14 bytes;?;?;16 MiB (16.77 MB);32 MiB (33.55 MB);?
Minix V1;Minix V1;Andrew S. Tanenbaum;1987;MINIX 1.0;Minix V1;Yes;Yes;No;No;No;No;No;No;No;No;Minix V1;Yes;Yes;No;No;Yes;Yes;No;No;?;Minix V1;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Minix V1;14 or 30 bytes, set at filesystem creation time;Any byte except NUL[bz];No limit defined[ca];256.5 MiB (268.9 MB) [cp];64 MiB (67.10 MB);?
Minix V2;Minix V2;Andrew S. Tanenbaum;1997;MINIX 2.0;Minix V2;Yes;Yes;No;Yes;Yes;No;No;No;No;No;Minix V2;Yes;Yes;No;No;Yes;Yes;No;No;?;Minix V2;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Minix V2;14 or 30 bytes, set at filesystem creation time;Any byte except NUL[bz];No limit defined[ca];2 GiB (2.147 GB) [cp];1 GiB (1.073 GB);?
Minix V3;Minix V3;Andrew S. Tanenbaum;2005;MINIX 3;Minix V3;Yes;Yes;No;Yes;Yes;No;No;No;No;No;Minix V3;Yes;Yes;No;No;Yes;Yes;No;No;?;Minix V3;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Minix V3;60 bytes;Any byte except NUL[bz];No limit defined[ca];2 GiB (2.147 GB);4 GiB (4.294 GB);?
NILFS;NILFS;NTT;2005;Linux;NILFS;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;NILFS;Yes;Yes;Yes[aj];No;Yes;Yes;No;No;?;NILFS;Yes, continuous[aj];No;No;Yes;No;No;No;No;NILFS;Linux;No;Yes;No;Yes;No;NILFS;Yes;No;No;No;No;Yes;Yes;Yes (Linux NILFS2);NILFS;No;Yes as an external kernel module;?;No;?;?;No;?;?;?;?;?;No;NILFS;255 bytes;Any byte except NUL[bz];No limit defined[ca];8 EiB (9.223 EB);8 EiB (9.223 EB);?
